Station,Phase,Time,EVs Charging
Cluster_0,1,1,0.0
Cluster_0,1,2,0.0
Cluster_0,1,3,1.0
Cluster_0,1,4,1.0
Cluster_0,1,5,1.0
Cluster_0,1,6,0.0
Cluster_0,1,7,0.0
Cluster_0,1,8,0.0
Cluster_0,1,9,0.0
Cluster_0,1,10,0.0
Cluster_0,1,11,0.0
Cluster_0,1,12,0.0
Cluster_0,1,13,0.0
Cluster_0,1,14,0.0
Cluster_0,1,15,0.0
Cluster_0,1,16,0.0
Cluster_0,1,17,0.0
Cluster_0,1,18,0.0
Cluster_0,1,19,0.0
Cluster_0,1,20,0.0
Cluster_0,1,21,0.0
Cluster_0,1,22,0.0
Cluster_0,1,23,0.0
Cluster_0,1,24,0.0
Cluster_0,2,1,0.0
Cluster_0,2,2,1.0
Cluster_0,2,3,1.0
Cluster_0,2,4,0.0
Cluster_0,2,5,1.0
Cluster_0,2,6,0.0
Cluster_0,2,7,0.0
Cluster_0,2,8,0.0
Cluster_0,2,9,0.0
Cluster_0,2,10,0.0
Cluster_0,2,11,0.0
Cluster_0,2,12,0.0
Cluster_0,2,13,0.0
Cluster_0,2,14,0.0
Cluster_0,2,15,0.0
Cluster_0,2,16,0.0
Cluster_0,2,17,0.0
Cluster_0,2,18,0.0
Cluster_0,2,19,0.0
Cluster_0,2,20,0.0
Cluster_0,2,21,0.0
Cluster_0,2,22,0.0
Cluster_0,2,23,0.0
Cluster_0,2,24,0.0
Cluster_0,3,1,1.0
Cluster_0,3,2,2.0
Cluster_0,3,3,3.0
Cluster_0,3,4,1.0
Cluster_0,3,5,2.0
Cluster_0,3,6,0.0
Cluster_0,3,7,1.0
Cluster_0,3,8,1.0
Cluster_0,3,9,0.0
Cluster_0,3,10,0.0
Cluster_0,3,11,1.0
Cluster_0,3,12,0.0
Cluster_0,3,13,1.0
Cluster_0,3,14,1.0
Cluster_0,3,15,0.0
Cluster_0,3,16,0.0
Cluster_0,3,17,0.0
Cluster_0,3,18,0.0
Cluster_0,3,19,0.0
Cluster_0,3,20,0.0
